차종,차량 유형,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Accent (RB),승용차,내수,1016.0,1047.0,1735.0,1351.0,1292.0,1576.0,827.0,860.0,687.0,824.0,684.0,531.0,388.0,255.0,688.0,548.0,470.0,654.0,963.0,740.0,579.0,544.0,685.0,979.0,523.0,427.0,574.0,564.0,387.0,519.0,322.0,520.0,398.0,509.0,489.0,466.0,406.0,370.0,415.0,467.0,399.0,404.0,391.0,228.0,215.0,249.0,447.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avante (AD),승용차,내수,6996.0,7932.0,8751.0,7628.0,8472.0,12363.0,6243.0,6756.0,5135.0,7943.0,7751.0,7779.0,5064.0,7353.0,6999.0,8235.0,7834.0,6488.0,7109.0,7449.0,7078.0,6190.0,7183.0,6848.0,5677.0,5807.0,5928.0,5898.0,6565.0,5928.0,7522.0,8136.0,5488.0,7228.0,6243.0,5411.0,5428.0,4973.0,5603.0,5774.0,4752.0,5654.0,5428.0,4893.0,4900.0,6571.0,4475.0,3653.0,2638.0,2575.0,3886.0,802.0,413.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avante (CN7),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7447.0,8969.0,10844.0,11036.0,5751.0,8241.0,7454.0,6713.0,7605.0,6104.0,4725.0,7681.0,6666.0,6168.0,5167.0,4692.0,3950.0,4352.0,2978.0,4847.0,5969.0,4366.0,2846.0,2956.0,5143.0,3911.0,2578.0,3927.0,1911.0,3967.0,5008.0,5041.0,7137.0,5241.0,5430.0,5466.0,5123.0,5191.0,4556.0,3534.0,4193.0,3739.0,4246.0,4760.0,4196.0,3994.0,1828.0,3651.0,5131.0,5226.0,4196.0,3458.0,3450.0,3290.0,5411.0,4787.0,5766.0,4086.0,4658.0
Avante (CN7 HEV),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,895.0,862.0,764.0,763.0,448.0,399.0,773.0,756.0,529.0,806.0,665.0,385.0,325.0,227.0,501.0,798.0,733.0,519.0,534.0,687.0,636.0,565.0,562.0,371.0,356.0,492.0,560.0,960.0,777.0,827.0,1070.0,120.0,1365.0,742.0,466.0,402.0,407.0,640.0,953.0,794.0,398.0,402.0,462.0,567.0,432.0,468.0,415.0,435.0,396.0,517.0,496.0,617.0,1233.0,1445.0
Avante (CN7 N),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,112.0,540.0,163.0,93.0,188.0,338.0,332.0,402.0,552.0,371.0,167.0,208.0,124.0,131.0,115.0,99.0,138.0,82.0,79.0,83.0,35.0,43.0,20.0,2.0,163.0,221.0,131.0,115.0,152.0,46.0,62.0,75.0,108.0,135.0,142.0,102.0,54.0,61.0,64.0,169.0,79.0,144.0,193.0
IONIQ (AE HEV),승용차,내수,293.0,1311.0,1248.0,732.0,458.0,627.0,370.0,397.0,225.0,376.0,340.0,481.0,270.0,216.0,379.0,411.0,474.0,422.0,395.0,224.0,395.0,328.0,411.0,307.0,207.0,322.0,201.0,353.0,259.0,205.0,158.0,357.0,243.0,340.0,472.0,545.0,113.0,221.0,303.0,314.0,288.0,464.0,469.0,289.0,456.0,338.0,258.0,330.0,162.0,83.0,393.0,421.0,97.0,127.0,87.0,75.0,67.0,131.0,419.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IONIQ (AE EV),승용차,내수,0.0,0.0,0.0,0.0,0.0,131.0,542.0,270.0,153.0,347.0,1081.0,1176.0,0.0,0.0,5.0,37.0,18.0,9.0,11.0,9.0,9.0,12.0,13.0,6.0,1086.0,949.0,886.0,485.0,548.0,534.0,252.0,113.0,102.0,183.0,187.0,281.0,2.0,0.0,32.0,51.0,0.0,5.0,0.0,10.0,14.0,7.0,1.0,2.0,0.0,1.0,16.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IONIQ (AE PHEV),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,277.0,732.0,607.0,517.0,476.0,810.0,959.0,846.0,649.0,961.0,768.0,5.0,11.0,10.0,14.0,7.0,7.0,7.0,18.0,15.0,18.0,28.0,18.0,21.0,62.0,288.0,133.0,135.0,244.0,236.0,380.0,154.0,112.0,93.0,202.0,2.0,104.0,276.0,121.0,83.0,152.0,181.0,189.0,166.0,103.0,121.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i30 (GD),승용차,내수,174.0,191.0,284.0,124.0,115.0,96.0,45.0,35.0,30.0,52.0,29.0,79.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i30 (PD),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,507.0,434.0,14.0,71.0,410.0,620.0,336.0,361.0,381.0,470.0,432.0,429.0,311.0,430.0,283.0,301.0,304.0,337.0,265.0,231.0,236.0,201.0,272.0,203.0,279.0,301.0,295.0,158.0,106.0,205.0,149.0,150.0,84.0,92.0,142.0,109.0,82.0,85.0,65.0,30.0,32.0,67.0,45.0,45.0,59.0,48.0,66.0,70.0,37.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veloster (FS),승용차,내수,56.0,67.0,85.0,94.0,46.0,83.0,36.0,38.0,25.0,47.0,33.0,24.0,5.0,2.0,20.0,15.0,19.0,14.0,12.0,12.0,15.0,21.0,41.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veloster (JS),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,279.0,435.0,335.0,312.0,312.0,237.0,243.0,250.0,190.0,396.0,82.0,113.0,130.0,74.0,133.0,137.0,104.0,91.0,73.0,45.0,104.0,84.0,31.0,88.0,101.0,116.0,142.0,174.0,79.0,58.0,86.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,30.0,22.0,34.0,29.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veloster (JS N),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,444.0,260.0,157.0,78.0,202.0,112.0,68.0,71.0,76.0,160.0,95.0,74.0,70.0,58.0,82.0,55.0,84.0,55.0,52.0,88.0,112.0,85.0,267.0,183.0,37.0,212.0,129.0,99.0,69.0,45.0,41.0,78.0,42.0,93.0,47.0,29.0,22.0,41.0,26.0,13.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupe (BK),승용차,내수,8.0,4.0,20.0,15.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonata (YF),승용차,내수,636.0,486.0,611.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonata (LF),승용차,내수,5035.0,4839.0,5906.0,5682.0,7755.0,8002.0,6341.0,5528.0,5717.0,5179.0,5581.0,6318.0,3769.0,4104.0,7115.0,8748.0,7227.0,8565.0,6072.0,5971.0,5970.0,7039.0,6805.0,5708.0,5230.0,4781.0,5377.0,5365.0,5191.0,4941.0,5610.0,5541.0,4147.0,5993.0,4909.0,4639.0,4271.0,5363.0,5660.0,2529.0,2026.0,1865.0,1737.0,1861.0,1799.0,2444.0,2081.0,1895.0,1668.0,1783.0,1729.0,1451.0,1597.0,1875.0,1644.0,1447.0,1515.0,1742.0,1507.0,1415.0,1118.0,1254.0,2006.0,1928.0,1078.0,2353.0,827.0,850.0,1428.0,2116.0,330.0,1988.0,141.0,1199.0,1054.0,1509.0,1677.0,827.0,1511.0,1513.0,1963.0,1829.0,1693.0,1463.0,996.0,1012.0,1230.0,1603.0,901.0,1162.0,673.0,401.0,407.0,303.0,321.0,310.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonata (HEV),승용차,내수,523.0,582.0,527.0,1275.0,558.0,752.0,505.0,383.0,376.0,384.0,320.0,886.0,222.0,331.0,331.0,370.0,359.0,650.0,579.0,450.0,413.0,311.0,641.0,609.0,289.0,294.0,304.0,333.0,347.0,302.0,338.0,333.0,244.0,323.0,416.0,545.0,265.0,317.0,260.0,172.0,126.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonata (PHEV),승용차,내수,13.0,8.0,9.0,5.0,17.0,13.0,12.0,9.0,10.0,6.0,6.0,9.0,4.0,5.0,6.0,9.0,9.0,0.0,1.0,3.0,7.0,3.0,4.0,2.0,1.0,4.0,4.0,1.0,4.0,2.0,0.0,7.0,5.0,10.0,10.0,6.0,5.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonata (DN8),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,6128.0,11224.0,7887.0,6333.0,5547.0,4045.0,6531.0,5548.0,5452.0,3743.0,3044.0,4804.0,3341.0,2924.0,5123.0,2942.0,2604.0,2385.0,3333.0,2433.0,2182.0,2114.0,2316.0,3806.0,4598.0,3538.0,3112.0,2348.0,3173.0,3063.0,3394.0,3794.0,3141.0,1748.0,2486.0,2629.0,2242.0,2196.0,3261.0,2616.0,2463.0,2411.0,1280.0,1672.0,2502.0,1189.0,842.0,608.0,422.0,1432.0,2258.0,1588.0,1856.0,1869.0,3537.0,3498.0,3612.0,379.0,1187.0,3298.0,3307.0,3207.0,2234.0,2412.0,2239.0,2296.0,2199.0,3133.0,3487.0,1785.0,2089.0
Sonata (DN8 HEV),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0,1312.0,1713.0,1203.0,1225.0,1012.0,195.0,720.0,593.0,1306.0,1065.0,627.0,544.0,689.0,595.0,1098.0,765.0,380.0,616.0,421.0,542.0,515.0,662.0,537.0,663.0,512.0,626.0,1055.0,907.0,147.0,491.0,634.0,414.0,117.0,629.0,285.0,356.0,211.0,214.0,374.0,551.0,354.0,386.0,377.0,207.0,297.0,693.0,554.0,744.0,671.0,1009.0,1076.0,1243.0,117.0,210.0,776.0,786.0,778.0,814.0,695.0,956.0,1043.0,1194.0,1186.0,1348.0,517.0,961.0
i40 (VF),승용차,내수,122.0,107.0,299.0,150.0,101.0,112.0,83.0,68.0,84.0,68.0,33.0,60.0,8.0,7.0,12.0,8.0,41.0,56.0,35.0,25.0,26.0,44.0,21.0,29.0,14.0,17.0,8.0,28.0,13.0,8.0,20.0,24.0,14.0,20.0,30.0,17.0,7.0,14.0,16.0,6.0,16.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grandeur (HG),승용차,내수,4419.0,3331.0,4006.0,3901.0,4518.0,5357.0,2993.0,2772.0,3050.0,3160.0,3145.0,2697.0,961.0,764.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
