공장명(국가),차종,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
미국,Optima / K5,11094,13180,11514,9933,7197,9006,7170,9965,8192,9116,8410,7711,7459,7663,10101,8358,10467,12307,8100,10402,9070,6715,3846,1956,2392,6900,4426,6340,8805,5792,7141,11460,10090,9762,8667,9024,11626,7202,9268,8732,8203,7020,7597,7732,9415,8643,6801,6148,5926,6603,5256,1009,2437,3557,9633,8795,8783,9229,5464,5857,5858,7310,7962,7467,5914,7707,7476,6793,5202,5614,6970,5788,7223,5706,5494,6257,6136,5658,4207,6322,6030,4402,4237,2875,5701,6150,6635,5652,6396,5050,4771,6853,6150,6550,5900,3445,,,,,,,,,,,,,,
미국,Sorento,9473,10521,11105,12080,13903,14049,11552,16439,15200,15112,13672,11848,9070,10657,13504,8299,12288,11227,7400,11498,8430,13310,9854,6025,2908,9500,13080,13100,13595,10162,11064,13155,10310,14938,11946,6943,8374,9168,7306,8804,10323,5605,8888,10638,7907,12359,10205,8321,8431,8891,7206,102,2054,6341,5130,5143,4012,1144,10849,8108,7882,7309,8559,9182,5079,5651,4860,4160,3903,6971,6327,6704,5667,5446,5728,7113,7312,7927,5935,7940,7260,7037,6261,5758,6795,5330,5385,6184,7368,6416,5513,7491,6602,7097,6100,4825,6442,9849,10049,10150,10449,8650,8249,9380,9237,10520,7972,4718,8300,8135
미국,Telluride,,,,,,,,,,,,,,,,,,,,,,,,,0,4630,6331,6364,6574,5975,5415,6930,6178,7198,6294,5826,0,4630,6331,6364,6574,5975,5415,6930,6178,7198,6294,5826,7543,7606,5788,537,1585,5402,8037,9062,9605,10327,8487,8335,7090,8496,9279,8751,8207,9642,7064,9697,6300,8615,8203,7108,9112,7506,9325,8593,8789,9072,7116,10173,7788,11251,10396,7739,9704,10400,11851,10206,11212,8792,8216,12313,10698,11903,10300,7850,9172,10901,10401,11500,11401,10050,9851,12190,11302,12300,10118,8192,10350,11060
미국,New Santa Fe,5800,12140,10143,8092,11600,12927,6883,9602,8322,7182,6799,5570,5987,4281,6291,1893,10375,8611,6300,8408,6200,6275,5806,3548,3678,3542,3737,2567,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미국,Pegas,,,,,,,,,,,,,,,,,,,,,2792,2218,2984,2618,1605,1391,3143,3772,3316,3897,2357,1832,2769,5509,6294,7953,7052,4399,4857,4626,4528,6231,7832,5874,6710,5164,6324,2594,4193,793,5808,3651,1558,959,1331,1013,1813,1595,1855,1688,2117,1838,1668,2141,1503,2566,2483,2753,1377,1939,3904,2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미국,Sportage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3053,10488,7542,8163,9143,6382,10365,10057,8810,8256,6950,6400,7950,9129,7358,8424,6142,5900,8450,7350,8150,7600,6150,8100,9920,9546,10735,10048,9300,8800,11520,10350,11150,9000,6720,9247,9763
미국,K5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286,30,4,15,2,0,0,0,,,,,,0
미국,EV9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,130,1210,1170,300,50
미국,EV6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,492
중국,K2,13232,12677,9166,7840,11031,9511,8027,8994,13556,16882,20177,23037,3793,4340,1855,2171,1681,4202,3743,5967,9758,11726,14600,15594,11725,8720,8222,9818,8416,6705,1762,2529,4880,5799,6323,8387,5496,3004,3201,1419,1079,2243,1049,2007,1370,71,19,-254,671,0,80,89,19,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
중국,Cerato,419,236,427,665,297,875,819,598,785,473,711,1486,143,390,763,631,836,936,325,422,817,648,871,950,684,646,507,400,1130,726,600,286,554,374,958,609,552,231,713,760,716,1092,63,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
중국,Forte,838,1540,581,389,459,131,204,1019,428,358,578,1090,29,222,775,901,1202,1048,443,65,26,771,1657,4039,245,189,2001,256,228,624,92,116,444,280,58,78,31,13,22,412,535,410,733,1676,2739,1833,842,916,980,17,920,898,1317,2442,3046,1399,2666,3047,2356,1006,1066,623,933,2044,2907,1781,2076,1124,333,550,1163,1303,2041,1265,2169,1562,2047,1946,2054,1232,1731,1729,1872,1478,588,1897,1935,2401,2353,2508,1989,2391,2437,2582,2262,1986,2227,1780,3438,1737,1093,1102,1219,786,953,970,1564,1880,1134,541
중국,K3,12424,6329,12815,16244,14243,12817,13281,12302,18464,22954,26235,25300,14902,15501,6658,6355,7058,6712,6306,9083,13565,15151,18211,18856,7630,5482,9671,7983,6648,2818,2547,2429,5491,8057,8089,11075,971,799,1176,3431,7009,4704,1903,2371,3275,4371,4730,4087,4060,101,1485,2358,4109,2025,2285,1939,2299,2391,2233,3434,2123,1526,953,1334,2071,2046,1355,1180,1038,1859,2171,2269,1863,1627,1014,367,323,896,1519,1143,922,841,751,941,623,954,613,276,384,272,358,412,580,364,501,1704,138,758,979,1583,1304,1472,1035,969,791,638,230,314,401,564
중국,Soul,46,1,516,356,232,,0,0,0,,0,0,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중국,K4,2659,3589,3032,2054,1752,457,579,4900,3986,3633,2337,3665,1235,1506,619,524,1391,624,2875,1071,1953,2676,2393,2356,2548,2012,2194,2691,1502,1344,536,661,1088,950,2042,1770,1275,644,1460,531,502,640,113,23,55,1,3,-478,96,0,67,54,121,209,95,75,128,78,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,
중국,K5,2691,3134,2336,1138,1124,1727,2171,1658,2534,5108,5234,5768,3915,2524,1041,1997,1793,1920,1873,2364,3301,2471,2216,2423,1549,851,1167,1112,500,1122,298,532,1371,1312,737,3986,305,794,530,316,321,265,111,144,569,103,262,269,140,18,180,152,184,92,531,3192,3488,4308,3199,3015,1520,566,675,602,563,542,865,709,564,1496,1200,1261,754,558,483,169,242,665,752,702,625,492,366,652,191,139,152,601,277,177,162,160,154,180,88,129,92,59,149,510,1202,953,1157,338,282,260,484,614,361,372
중국,KX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864,3104,4221,4122,3609,4706,3637,2564,3986,2970,2116,2910,3960,3144,3814,3229,2762,526,1227,7,908,1679,1986,1984,1861,1994,2535,2125,2667,1867,2189,860,1003,2337,2135,1677,2051,1310,886,865,1355,1663,1643,1680,1622,774,865,1151,1476,1126,1557,1320,812,1108,623,975,834,515,372,923,621,678,890,1158,971,820,396,377,470,383,271,555,381,505,586,805,1404,1596,1510,1759
중국,KX3,5336,5420,7542,5805,6011,4949,2455,2004,5500,6939,9739,7213,1252,1419,835,689,582,570,490,460,497,643,756,557,247,303,259,64,104,9,3,72,103,238,91,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732,1622,1472,716,719,1072,1232,908,831,765,402,1031,1183,760,807,936,731,6278,6994,4994,2794,6526,6381,6835,4596,3794,4298,4720,4250,4198,4871,4960,4290,5865,6496,4369,3446,3845
중국,"KX3 (KC, SP2c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,9,67,8,129,3,3,65,0,1259,6161,4686,22,4002,7629,4818,3543,4048,3065,3533,3631,3238,2445,2566,1624,1478,1546,846,912,1019,791,1952,3451,3278,2078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중국,Zhipao (NP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10577,7360,13989,8707,5680,2955,4868,4764,5035,8761,6832,6181,6513,5,2982,4083,8970,9001,6261,6229,7756,7167,6276,3507,4542,2029,1916,1543,2331,3499,2810,3097,1995,2248,2359,3382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중국,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,444,4836,6808,9461,9774,8121,9699,8881,11536,12726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중국,Sportage (KM),1434,1514,1401,942,1727,953,1177,34,116,0,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중국,Sportage (SL),10127,5100,6225,6910,6287,5089,5431,5045,5761,7766,7729,5184,2825,3006,1722,1425,1521,1769,1835,2001,3840,3781,3628,4273,2241,1056,1677,1440,785,8,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중국,Sportage (QL),53,1469,6001,7813,6959,8493,6861,5537,3872,5894,6762,4062,1688,1325,925,749,708,847,1739,1189,3066,2067,2312,2693,1324,731,873,526,378,211,87,137,397,285,556,446,251,2220,1353,297,201,531,201,456,323,250,393,-285,466,9,514,2444,538,878,980,989,1178,1007,927,1244,467,296,49,259,352,281,324,209,106,192,71,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중국,Sonet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,3212,4372,4546,4230,3235,4253,4359,3910,4164,3378,4480,2397,4589
중국,KX7,,,,,,,,,,,,,298,913,813,609,612,375,373,380,388,353,375,462,354,125,390,204,195,80,85,184,33,195,122,60,13,2,6,2,0,1,1,0,2,1,0,1,2,0,0,177,49,10,12,15,25,95,84,378,107,70,21,4,116,94,96,143,313,109,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
중국,KX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,78,80,16,17,54,16,19,215,818,654,651,312,351,869,960,918,959,1353,1131,1774,1392,1544,1187,1446,938,927,992,1001,2672,3295,2951,3559,2850,2792,3722,1875,1021
중국,Zhipao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942,2086,1959,370,625,1351,1893,1661,1651,1377,830,1837,1879,1366,783,539,728,724,454,550,612,544,339,407,490,298,230,66,32,117,112,157,145,442,477,234,139,110
중국,EV5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,352,1096,763,165,323,1182,1732,881,948,1385,1199,1259,821,738,699,574
중국,Carnival,,,,,,,,,,,,,,,,,,,,289,703,618,608,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,200,249,104,107,225,242,216,219,171,192,112,38,56,97,142,140,175,320,221,291,235,141,123,144,62,139,142,156,187,181,186,132,134,179,165,99,105
중국,Pegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2801,1723,1941,1339,2977,4921,4946,3823,3200,3082,3488,2514,3320,3436,3504,3465,3710,3548,3572,5866,7042,4121,5645,4495,5120,3607,3340,3946,3812,5280,4699,5902,6111,6303,6455,5934,3638,4422
슬로바키아,Venga,2515,2009,2113,2152,2315,2713,1627,2685,2611,2381,2297,979,2093,2071,2382,1915,2223,2239,1904,2271,2103,2294,2055,622,1633,1448,2156,2614,2432,18,,508,670,1469,1449,1537,1631,2017,2126,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
슬로바키아,new cee'd,7667,9073,9008,8199,8873,7321,4076,8314,8210,8770,8428,6404,8763,7563,8662,8305,9474,10093,7047,6609,8294,9208,8695,6108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
슬로바키아,Cee'd,,,,,,,,,,,,,,,,,,,,,,,,,10393,7859,7147,4999,6532,9960,6466,8335,8752,9014,9124,6579,10989,10809,11111,12014,14104,12653,7012,7312,6545,7249,6906,6051,10987,9424,6947,2725,5284,6303,6010,6368,9147,8001,6259,3680,7705,8774,9306,8979,8033,9785,8282,6698,7405,6883,7108,5349,7416,6304,8585,6822,8015,7035,3469,5722,7140,6954,6503,6079,8434,7605,8496,7763,9011,8634,5532,6755,7488,8995,7765,5899,9009,8481,8289,7959,7533,7426,6685,5916,7935,8700,7268,5818,10261,9653
슬로바키아,Sportage,16118,18218,18179,19149,20412,21666,10397,20901,19979,19649,19075,15250,19244,19069,21361,16580,18805,20173,12554,18125,17308,20503,18460,10425,17374,18893,18897,17587,20436,19822,14034,18957,19678,23317,19427,13484,18180,15374,16363,16683,17896,17443,12447,15692,16547,18510,16822,12495,14690,14863,11089,6815,8992,11225,8965,8713,14419,17381,16755,10946,14304,14519,14410,13666,13139,12994,11217,13153,14084,16168,11848,13235,11267,13369,15671,13684,17716,17919,13157,14625,17625,16531,14897,10944,15308,18166,21572,15724,19675,20143,13375,16856,17363,19715,18685,14553,20059,19558,18931,20099,20926,18785,17779,13799,20344,21311,18698,11628,15245,17947
슬로바키아,C'eed CUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,241,5096,7608,8041,5772,3454,3923,4913,4064,1860,2924,4272,2825,2719,4634,3618,4186,2274,4591,4607,6184,4855,4228,4521,2901,3949,4211,3649,4444,2416,4617,5927,4944,4694,5269,5046,3574,3653,4335,4515,3900,3477,5774,3829,4132,3221,3223,4763,2900,3993,3749,4292,3950,2948,4032,3668,3080,3448,3641,3459,3036,1985,3021,3489,3135,2354,2194,2100
멕시코,K2,,,,,,,,,,,,,877,1992,2101,4716,6125,10733,10168,10620,11539,11479,9829,9479,6408,6354,7090,7482,8791,9614,9842,9213,8305,10679,10567,7317,8098,8504,9683,9643,9150,9157,8003,10450,9087,10501,9419,8316,8483,7245,9270,1562,607,5250,3802,4833,6827,6809,7653,7294,6247,5645,6573,5827,7463,6187,6620,6082,6889,4427,7144,5966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
멕시코,HC,,,,,,,,,,,,,0,3,24,0,4,14,887,1937,1500,3174,3252,3957,4111,4147,4716,4320,3970,4479,4779,4065,5921,4684,6329,4457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
멕시코,K3,0,,,,1931,9052,11525,16509,16638,16699,17016,15674,9324,10440,12803,10485,8093,9303,10845,9743,9271,9984,8379,4955,11682,11799,9394,8805,11444,9107,3399,16838,14234,16437,13504,11617,9846,10602,10687,10157,13668,13023,10703,11468,10728,11964,10738,9182,10062,9910,12440,4191,1321,10474,9878,10862,10905,12706,11542,10367,11853,9875,11207,10873,11217,11113,6810,11703,9921,9443,10816,6299,14304,8349,11110,9600,10786,13888,10755,12157,11695,13187,13343,9958,14634,11417,11677,10719,13966,14171,11865,15019,14524,14675,12785,8711,19585,19778,19796,22797,22895,21150,19525,12058,6170,5476,5517,5832,5207,5180
멕시코,Accent (HC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3356,3214,3630,3600,3682,2900,2908,4012,4085,5235,3599,3602,2955,3545,3600,869,192,571,1167,1055,1618,2585,2305,2045,1800,2480,3800,1760,1780,1660,1860,2775,2150,1290,1110,1035,2410,2460,2400,3200,3535,4400,2499,3452,3536,704,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
멕시코,Rio(pride),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9070,8789,8822,7793,8250,8629,7348,8609,8678,7402,7715,6729,15,72,0,108,0,0,0,,,,,,,
멕시코,K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10,3,20,2,12325,16329,18439,16824,13274,15456,15287
멕시코,Tucson(NX4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,2378,2821,2637,3048,2700,2097,2000,2000
인도,Seltos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,234,6002,8025,14636,17839,10983,17811,17593,10051,18,4495,9607,10675,14247,14255,12625,11389,8497,11766,10204,13596,10697,6151,11397,9035,11245,11737,13515,11167,6580,14558,9925,11715,12882,9279,12694,13090,13479,15012,12817,13479,12478,13982,11563,9786,10077,6428,6422,10828,11198,10999,12589,12568,10268,6695,6825,8568,7298,7218,7024,6279,6929,7232,6544,5643,3211,6584,6550
인도,Sonet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,202,9102,12209,12377,7627,10580,9763,10096,8822,9087,7520,8816,9146,5852,6417,5935,4613,9321,8305,9025,7509,9370,10452,10143,10553,11634,8737,9781,7527,11593,12953,11040,13950,11132,12888,8755,7994,9093,8889,8367,978,11843,9240,8829,8821,8270,11212,10199,11390,11564,11126,10626,4567,8259,8886
인도,Carnival (CKD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,1620,1117,0,50,161,232,190,331,400,400,251,328,400,45,301,146,503,358,379,404,400,636,207,357,283,328,355,239,285,288,274,333,301,419,88,1003,504,168,0,,,,,,,,,,,,,,,,,,,,,,
인도,K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6886,8891,7540,8400,9879,8112,6782,8540,8160,8109,9083,6390,,,,,,,,,,,,,,,,,,,,,,,,,,
인도,Carens MPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,5112,7081,6350,5191,8598,6498,6190,5812,6021,7027,4419,8664,6986,6709,6822,7131,8755,6823,5293,4789,6088,5205,3070,6536,5440,5704,6048,6300,6246,6512,6775,6721,6820,6093,3165,5797,5968
인도,Carnival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,241,103,293,239
인도,Syros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5546,5425