지역명,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
아시아/태평양,8302,7112,9932,10187,12013,13140,11398,8983,10017,10226,11494,10431,13923,12514,11578,11747,9610,10800,11781,8356,11434,9218,10737,9568,9806,9885,11605,11891,12238,12421,9472,10026,9430,10881,12024,14184,14369,10765,12056,12454,12091,10841,10133,9758,10437,10968,13490,9761,7716,6791,11220,2996,4838,7772,10079,9434,12959,13737,14634,12393,12449,13816,13635,13216,11631,12461,11903,7413,9487,11276,10274,11110,13074,10644,16063,17165,19551,12587,20496,14244,12509,15289,15676,13320,12099,11562,13545,10775,11129,13692,11003,12345,10951,11188,11835,14187,12135,12890,11473,13471,12587,13408,13036,12631,9971,11924,12018,14573,10856,10892
캐나다,2300,3685,5440,3950,4447,4489,4094,2670,1914,2049,2709,2029,2780,3710,4480,4490,3519,4611,3449,3577,2674,1605,1611,874,2510,2305,4245,4777,4713,3461,3000,2954,3245,1873,1661,471,1450,2000,4333,4900,5094,3945,4355,2587,2552,2564,1909,1190,2615,3630,4168,805,998,4538,6580,4575,5094,3044,2699,1403,3560,5938,4483,4253,4154,3886,2534,2144,1915,1955,2741,1960,3205,3835,3759,2974,4683,2279,4150,3804,2714,3671,4311,4785,5958,6817,5705,5816,5556,5059,5069,4191,4660,4552,6268,5329,5240,3734,4043,5821,6177,5513,6554,4505,3429,4400,4112,6702,5180,5568
중국,62,198,56,20,259,439,302,10,60,135,1478,1,0,57,512,304,342,463,260,228,420,67,166,189,44,130,256,92,0,1,43,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,96,63,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
동유럽/구소련,1129,1632,1728,3716,4122,6086,5900,2556,3562,3085,3239,3992,4217,6285,7368,7488,6416,6981,8066,5032,3990,2743,3676,2702,7866,6138,10917,7439,9725,10191,6098,6607,6339,7018,7725,8321,9510,6547,11150,9551,10665,8222,8212,5322,5746,6614,7482,5669,3162,4369,6642,4532,3413,4345,9191,7922,8235,9559,10501,6775,9131,11619,9267,12511,9037,11562,8003,9432,5974,7810,7198,10719,11827,7423,3396,3714,3324,3564,5273,4235,3314,3947,4643,4604,4314,4866,5377,6149,5985,5007,5262,5458,5476,6221,5917,4045,6421,5537,5811,4918,6063,4748,3630,3296,3634,4823,4118,5482,4723,5075
유럽연합+EFTA,16793,16879,19258,14636,16110,17302,20759,11615,12358,16148,25108,23702,16632,19410,19600,23541,21603,22462,24540,22923,24649,14944,24293,19842,20677,20969,29336,26037,28426,24334,18600,13522,17271,22603,24907,23772,26345,19853,22155,25008,24806,22386,27084,17550,22735,22253,25517,22475,18360,12763,23491,14914,12796,19234,20573,16408,23483,24109,23984,22625,26832,19355,24945,22834,20584,18419,18735,17731,21038,16382,22449,23891,24586,20535,17997,17796,23696,19437,26706,17272,20555,22962,23973,24524,27093,29763,33563,29870,31389,23582,23568,18616,18713,17354,26003,22840,26740,20112,23516,19631,21711,20991,18912,17372,21838,27153,24937,18876,21476,26591
인도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,298,199,199,102,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,539
중남미,9288,14872,18481,17852,11247,16989,14224,10921,12115,14973,15801,21349,11199,13870,15091,12492,11786,12528,10828,11782,11645,10588,10719,10875,8708,8456,10804,9944,9978,8501,10853,8884,9668,10281,12809,6433,8162,7073,8933,9918,9377,9308,7396,7399,8255,8891,8969,3114,3804,1904,7026,1404,941,2068,1358,2531,4904,6432,6896,3525,4356,3278,5600,6172,5483,7014,6024,6405,5413,7975,5718,5425,5295,4873,6499,7537,6988,6359,7160,6709,6253,6036,5305,5880,4110,4625,5865,5289,5872,6282,6286,4832,6104,5628,6783,6026,4584,3454,4661,5206,5430,5183,5359,5806,4140,5537,6193,9720,4045,4343
멕시코,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,2491,2120,2042,1865,1619,1249,589,667,667,194,695,970,647,812,637,806,211,620,389,505,490,501,1016,502,863
중동/아프리카,8614,6570,12654,11045,10834,12420,12906,10634,10961,14221,18182,27998,11123,12646,14684,13594,13508,11459,12316,11800,14703,10980,15684,10743,13157,8740,11517,13078,13830,14673,12674,10075,7813,13097,16654,11249,10734,9272,11243,12226,11927,9872,9711,9967,8923,10573,12399,8906,9098,8250,9945,5569,6460,7671,5784,7348,8456,9909,11253,8488,8985,9741,10102,10470,8569,11940,14104,9018,9381,9908,9693,14530,9137,9740,13581,10432,11003,10257,12583,9035,9596,10832,12476,14557,10333,10724,11625,10430,10310,8841,8403,9020,6674,7648,7755,7388,7847,7378,9429,8233,8031,8101,8641,6228,6847,8611,8033,14340,8531,9266
미국,30600,30627,42342,27365,26248,30209,27819,15791,17943,14289,28829,40408,22176,28900,31453,24119,19722,19974,24562,21788,30062,15189,29568,19888,18582,9192,13959,15082,15200,18450,23200,20310,15454,26062,26500,27750,24000,15610,19710,23623,23320,21386,23899,14617,18932,16217,17454,22564,17745,15833,24988,16600,12334,19052,24695,17262,23989,24730,19533,14391,18627,22593,27448,30943,17623,23438,22843,17357,17222,17093,20237,25520,24115,13005,18766,20264,18915,17323,24809,22290,19626,21640,25130,25275,34104,30330,32612,29348,28763,26013,27236,22619,20969,24763,33951,30925,34743,28607,34209,42268,37104,35703,35129,32519,28047,30140,15057,23841,28515,36243