지역명,차량 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Asia / Pacific,"CKD(Inc, Special Vehicle)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3384.0,4184.0,3464.0,2536.0,2072.0,2456.0,1920.0,2760.0,2884.0,3324.0,2348.0,4136.0,2260.0,3200.0,3000.0,3040.0,3340.0,2940.0,3220.0,3060.0,3820.0,5040.0,4640.0,3760.0,3040.0,3560.0
Asia / Pacific,CKD(Special Vehicle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,24.0,72.0,48.0,24.0,36.0,60.0,72.0,48.0,48.0,50.0,36.0,60.0,49.0
Asia / Pacific,Commercial Vehicle,247.0,257.0,462.0,480.0,227.0,432.0,290.0,226.0,317.0,450.0,131.0,483.0,119.0,143.0,226.0,271.0,189.0,222.0,185.0,124.0,226.0,202.0,524.0,122.0,269.0,158.0,320.0,193.0,324.0,249.0,312.0,238.0,177.0,473.0,235.0,159.0,442.0,513.0,411.0,571.0,426.0,356.0,463.0,524.0,540.0,373.0,86.0,256.0,537.0,35.0,219.0,153.0,146.0,326.0,232.0,523.0,82.0,57.0,288.0,113.0,311.0,464.0,149.0,238.0,70.0,74.0,159.0,97.0,94.0,221.0,194.0,205.0,184.0,374.0,372.0,394.0,447.0,173.0,187.0,52.0,38.0,218.0,150.0,351.0,359.0,448.0,298.0,328.0,301.0,353.0,319.0,342.0,104.0,73.0,87.0,79.0,379.0,366.0,381.0,260.0,191.0,247.0,253.0,328.0,249.0,146.0,144.0,297.0,225.0,385.0
Asia / Pacific,KD,3800.0,2660.0,3320.0,3400.0,4400.0,4460.0,5000.0,3900.0,4320.0,3680.0,5240.0,1940.0,7740.0,5500.0,3120.0,3460.0,1900.0,3060.0,3660.0,1860.0,3900.0,3500.0,3200.0,3100.0,2920.0,3720.0,3880.0,3680.0,3160.0,4320.0,2480.0,3600.0,3360.0,2520.0,4600.0,5480.0,5640.0,4440.0,3680.0,3880.0,2920.0,3120.0,2840.0,2720.0,2560.0,2420.0,3540.0,3560.0,2860.0,2600.0,2640.0,1020.0,1480.0,2120.0,2560.0,2880.0,5640.0,5420.0,6180.0,6780.0,4520.0,5600.0,5580.0,4140.0,4760.0,4440.0,4366.0,2960.0,4620.0,4020.0,3940.0,4280.0,5520.0,4480.0,5060.0,5760.0,8922.0,4740.0,6180.0,6360.0,5080.0,7420.0,5500.0,3440.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia / Pacific,Passenger Car,1976.0,2000.0,3613.0,3562.0,4435.0,3553.0,2863.0,2887.0,3548.0,3319.0,3387.0,4588.0,2979.0,3293.0,4220.0,4107.0,3742.0,3911.0,4177.0,3477.0,4223.0,2935.0,4075.0,3617.0,4054.0,3162.0,4164.0,3670.0,5040.0,4349.0,3288.0,2838.0,3025.0,4194.0,3556.0,5143.0,4895.0,3027.0,4158.0,4782.0,4621.0,4528.0,4189.0,3738.0,3580.0,3314.0,4508.0,3007.0,1889.0,1667.0,3840.0,790.0,824.0,2950.0,3526.0,3199.0,2970.0,3376.0,3560.0,2010.0,3031.0,3038.0,3550.0,4069.0,3092.0,2950.0,3857.0,2330.0,1475.0,2161.0,2060.0,2106.0,2002.0,1650.0,3604.0,2285.0,2615.0,1872.0,3677.0,1667.0,1512.0,1382.0,1743.0,2354.0,2206.0,1781.0,2515.0,1869.0,2042.0,2144.0,1290.0,1424.0,1607.0,1504.0,1627.0,1724.0,2231.0,1998.0,2237.0,3249.0,2887.0,2459.0,1951.0,2029.0,485.0,944.0,1025.0,722.0,409.0,947.0
Asia / Pacific,Recreational Vehicle,2279.0,2195.0,2537.0,2745.0,2951.0,4695.0,3245.0,1970.0,1832.0,2777.0,2736.0,3420.0,3085.0,3578.0,4012.0,3909.0,3779.0,3607.0,3759.0,2895.0,3085.0,2581.0,2938.0,2729.0,2563.0,2845.0,3241.0,4348.0,3714.0,3503.0,3392.0,3350.0,2868.0,3694.0,3633.0,3402.0,3392.0,2785.0,3807.0,3221.0,4124.0,2837.0,2641.0,2776.0,3757.0,4861.0,5356.0,2938.0,2430.0,2489.0,4521.0,1033.0,2388.0,2376.0,3761.0,2832.0,4267.0,4884.0,4606.0,3490.0,4587.0,4714.0,4356.0,4769.0,3709.0,4997.0,3521.0,2026.0,3298.0,4874.0,4080.0,4519.0,5368.0,4140.0,7027.0,8726.0,7567.0,5802.0,10452.0,6165.0,5879.0,6269.0,8283.0,7175.0,6120.0,5117.0,7258.0,6037.0,6697.0,8711.0,7468.0,7819.0,6327.0,6287.0,7771.0,8213.0,7217.0,7298.0,5763.0,6850.0,6142.0,7721.0,7551.0,7131.0,5364.0,5734.0,6158.0,9655.0,7119.0,5950.0
Asia / Pacific,Special Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,32.0,10.0,5.0,17.0,28.0,6.0,,29.0,,2.0,35.0,,4.0,20.0,24.0,3.0,5.0,1.0,11.0,5.0,12.0,1.0,103.0,3.0,1.0
Canada,Passenger Car,736.0,1369.0,2035.0,1038.0,844.0,734.0,1155.0,353.0,331.0,94.0,383.0,122.0,672.0,421.0,704.0,295.0,446.0,108.0,152.0,121.0,284.0,245.0,337.0,50.0,347.0,409.0,444.0,644.0,345.0,250.0,289.0,305.0,237.0,43.0,13.0,1.0,,20.0,171.0,315.0,122.0,101.0,865.0,482.0,362.0,348.0,198.0,133.0,52.0,52.0,116.0,,42.0,103.0,72.0,181.0,527.0,199.0,265.0,138.0,114.0,183.0,202.0,375.0,102.0,133.0,129.0,204.0,73.0,19.0,82.0,99.0,259.0,121.0,252.0,196.0,261.0,191.0,114.0,43.0,83.0,105.0,183.0,331.0,94.0,173.0,28.0,229.0,48.0,41.0,40.0,27.0,48.0,5.0,43.0,57.0,48.0,36.0,30.0,,82.0,48.0,39.0,,,,,,,
Canada,Recreational Vehicle,1564.0,2316.0,3405.0,2912.0,3603.0,3755.0,2939.0,2317.0,1583.0,1955.0,2326.0,1907.0,2108.0,3289.0,3776.0,4195.0,3073.0,4503.0,3297.0,3456.0,2390.0,1360.0,1274.0,824.0,2163.0,1896.0,3801.0,4133.0,4368.0,3211.0,2711.0,2649.0,3008.0,1830.0,1648.0,470.0,1450.0,1980.0,4162.0,4585.0,4972.0,3844.0,3490.0,2105.0,2190.0,2216.0,1711.0,1057.0,2563.0,3578.0,4052.0,805.0,956.0,4435.0,6508.0,4394.0,4567.0,2845.0,2434.0,1265.0,3446.0,5755.0,4281.0,3878.0,4052.0,3753.0,2405.0,1940.0,1842.0,1936.0,2659.0,1861.0,2946.0,3714.0,3507.0,2778.0,4422.0,2088.0,4036.0,3761.0,2631.0,3566.0,4128.0,4454.0,5864.0,6644.0,5677.0,5587.0,5508.0,5018.0,5029.0,4164.0,4612.0,4547.0,6225.0,5272.0,5192.0,3698.0,4013.0,5821.0,6095.0,5465.0,6515.0,4505.0,3429.0,4400.0,4112.0,6702.0,5180.0,5568.0
China,Passenger Car,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,4.0,4.0,8.0,4.0,1.0,,,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Recreational Vehicle,62.0,198.0,56.0,20.0,259.0,439.0,302.0,10.0,60.0,135.0,1478.0,1.0,,57.0,512.0,304.0,342.0,463.0,260.0,228.0,420.0,63.0,159.0,185.0,40.0,122.0,252.0,91.0,,1.0,40.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,96.0,63.0,1.0,,6.0,,,,,,1.0,,,,,,,,,
E.Europe/CIS,"CKD(Inc, Special Vehicle)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.0,1320.0,880.0,1040.0,1120.0,800.0,840.0,1200.0,1000.0,840.0,480.0,640.0,1420.0,1420.0,780.0,1340.0,2160.0,1800.0,2760.0,2620.0,2380.0,2980.0,2520.0,2280.0,2320.0,2580.0
E.Europe/CIS,CKD(Special Vehicle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,,,2.0
E.Europe/CIS,Commercial Vehicle,669.0,595.0,797.0,403.0,352.0,236.0,1.0,13.0,475.0,595.0,14.0,500.0,,173.0,166.0,280.0,345.0,651.0,703.0,250.0,501.0,276.0,242.0,,33.0,15.0,22.0,21.0,,251.0,187.0,,10.0,184.0,23.0,,144.0,244.0,112.0,218.0,47.0,305.0,105.0,100.0,110.0,2.0,1.0,15.0,192.0,2.0,172.0,130.0,82.0,189.0,314.0,70.0,272.0,383.0,313.0,154.0,319.0,111.0,150.0,228.0,7.0,2.0,135.0,14.0,6.0,130.0,68.0,90.0,281.0,192.0,230.0,329.0,576.0,182.0,37.0,,,20.0,35.0,300.0,158.0,117.0,157.0,259.0,226.0,149.0,469.0,214.0,566.0,537.0,77.0,300.0,1178.0,861.0,1197.0,403.0,90.0,56.0,10.0,,5.0,3.0,114.0,46.0,,96.0
E.Europe/CIS,KD,40.0,280.0,280.0,640.0,520.0,1200.0,160.0,840.0,680.0,960.0,600.0,640.0,760.0,1520.0,2080.0,1960.0,1600.0,1480.0,1360.0,960.0,720.0,280.0,640.0,360.0,1760.0,1080.0,1240.0,1160.0,2200.0,2120.0,1320.0,800.0,960.0,1360.0,1280.0,640.0,1600.0,1720.0,3440.0,2080.0,3040.0,1480.0,2360.0,1920.0,2000.0,2240.0,1000.0,1160.0,2120.0,2000.0,2680.0,1960.0,1960.0,1920.0,3680.0,2160.0,2320.0,2920.0,2720.0,1320.0,2120.0,4600.0,2840.0,3560.0,1920.0,2400.0,1720.0,4400.0,3000.0,3800.0,2980.0,2380.0,4120.0,2440.0,480.0,,,120.0,,240.0,,120.0,200.0,680.0,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Europe/CIS,Passenger Car,405.0,643.0,529.0,1752.0,1745.0,2645.0,2583.0,655.0,1912.0,1384.0,1225.0,1819.0,1855.0,2554.0,2844.0,3666.0,1775.0,3083.0,3233.0,1480.0,1846.0,1487.0,1561.0,1088.0,3663.0,2467.0,3743.0,3778.0,4147.0,4132.0,2829.0,3761.0,3426.0,3322.0,4246.0,4295.0,3932.0,2462.0,3662.0,3581.0,3823.0,2709.0,3087.0,1784.0,2376.0,2108.0,3689.0,1385.0,184.0,590.0,2584.0,1985.0,953.0,906.0,2038.0,3189.0,3152.0,2555.0,4645.0,2745.0,3605.0,4077.0,4328.0,4857.0,3141.0,5204.0,4110.0,2044.0,990.0,1505.0,1232.0,3278.0,3065.0,698.0,984.0,1388.0,892.0,843.0,2042.0,1165.0,644.0,1042.0,836.0,754.0,1224.0,1207.0,1390.0,1500.0,1218.0,895.0,1381.0,1466.0,829.0,1603.0,1268.0,439.0,1151.0,434.0,615.0,295.0,476.0,391.0,219.0,102.0,254.0,112.0,144.0,63.0,82.0,73.0
E.Europe/CIS,Recreational Vehicle,15.0,114.0,122.0,921.0,1505.0,2005.0,3156.0,1048.0,495.0,146.0,1400.0,1033.0,1602.0,2038.0,2278.0,1582.0,2696.0,1767.0,2770.0,2342.0,923.0,700.0,1233.0,1254.0,2410.0,2576.0,5912.0,2480.0,3378.0,3688.0,1762.0,2046.0,1943.0,2152.0,2176.0,3386.0,3834.0,2121.0,3936.0,3672.0,3755.0,3728.0,2660.0,1518.0,1260.0,2264.0,2792.0,3109.0,666.0,1777.0,1206.0,457.0,418.0,1330.0,3159.0,2503.0,2491.0,3701.0,2823.0,2556.0,3087.0,2831.0,1949.0,3866.0,3969.0,3956.0,2038.0,2974.0,1978.0,2375.0,2918.0,4971.0,4361.0,4093.0,1702.0,1997.0,1856.0,2419.0,3194.0,2830.0,2670.0,2765.0,3572.0,2870.0,2032.0,2222.0,2950.0,3320.0,3331.0,2935.0,2386.0,2398.0,2901.0,3055.0,4002.0,2596.0,2662.0,2822.0,3194.0,2880.0,3337.0,2499.0,639.0,474.0,895.0,1728.0,1318.0,3093.0,2321.0,2324.0
E.Europe/CIS,Special Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,30.0,90.0,228.0,186.0,180.0,180.0,186.0,90.0,70.0,10.0,,25.0,,,,,100.0,100.0,,20.0,,,
EU+EFTA,Commercial Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
EU+EFTA,Passenger Car,11846.0,12232.0,13648.0,9701.0,9335.0,10426.0,12637.0,8888.0,8546.0,11287.0,17176.0,15791.0,12730.0,13268.0,12587.0,15897.0,15433.0,15085.0,13542.0,8533.0,9559.0,6053.0,9707.0,8838.0,9416.0,11077.0,14340.0,12383.0,14407.0,12940.0,11177.0,7381.0,8751.0,10788.0,12072.0,12079.0,11513.0,8684.0,9497.0,11232.0,10959.0,9080.0,11745.0,7543.0,10661.0,10070.0,10693.0,9995.0,9598.0,4682.0,10872.0,4813.0,1531.0,5497.0,6741.0,5626.0,8739.0,9777.0,9299.0,8972.0,7213.0,5768.0,7759.0,8710.0,6627.0,5878.0,8038.0,4757.0,7006.0,3651.0,7065.0,8519.0,8590.0,7464.0,5356.0,5403.0,7207.0,6090.0,8153.0,6456.0,7878.0,7655.0,8758.0,7881.0,10216.0,12757.0,12724.0,10645.0,10709.0,6177.0,4059.0,2198.0,2440.0,3359.0,4704.0,4046.0,7790.0,6255.0,6223.0,4885.0,7154.0,6600.0,6277.0,4837.0,5139.0,7238.0,5108.0,2660.0,4542.0,6427.0
