차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,차량 구분
i10 (AC3),4791,3820.0,5365.0,3514.0,4714.0,5812.0,4593.0,2961.0,4762.0,3965.0,4564.0,3953.0,2023,
i20 (GB),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,
i20 (BC3),3100,3221.0,5174.0,4437.0,4722.0,4607.0,4908.0,3119.0,4747.0,3872.0,3459.0,3041.0,2023,
i20 N (BC3 N),202,194.0,600.0,360.0,444.0,342.0,298.0,379.0,663.0,592.0,597.0,634.0,2023,
Elantra,117,131.0,108.0,181.0,147.0,237.0,198.0,90.0,40.0,31.0,80.0,30.0,2023,
IONIQ (HEV),54,17.0,34.0,12.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2023,
IONIQ (PHEV),12,2.0,6.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2023,
IONIQ (EV),76,3.0,74.0,12.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,1.0,2023,
i30 (PD),3348,2848.0,3549.0,3083.0,3064.0,3300.0,2765.0,2188.0,2885.0,2689.0,2983.0,2557.0,2023,
i30 (PD N),408,320.0,506.0,431.0,474.0,289.0,281.0,241.0,434.0,405.0,390.0,451.0,2023,
i40 (VF),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,
Ioniq6 EV (CE_EV),267,803.0,865.0,1084.0,827.0,893.0,1067.0,1505.0,910.0,862.0,804.0,932.0,2023,
G80 (DH),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,
ix20 (JC),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,
Bayon (BC3 CUV),1521,1846.0,2840.0,1343.0,2241.0,2749.0,1773.0,1704.0,2755.0,2905.0,3566.0,2550.0,2023,
Kona (OS),1701,1563.0,2640.0,2217.0,1729.0,2831.0,753.0,318.0,210.0,69.0,48.0,17.0,2023,
Kona (OS EV),536,336.0,1170.0,818.0,666.0,664.0,507.0,297.0,607.0,221.0,179.0,62.0,2023,
Kona (Ose- EV),1158,1812.0,2731.0,1803.0,2134.0,2635.0,2561.0,2318.0,1619.0,1008.0,586.0,679.0,2023,
Kona (OS HEV),2080,1564.0,2151.0,1541.0,1654.0,1570.0,398.0,149.0,123.0,84.0,32.0,15.0,2023,
Kona N (OS N),164,120.0,339.0,471.0,329.0,108.0,86.0,67.0,105.0,98.0,79.0,68.0,2023,
Kona (SX2),0,0.0,0.0,0.0,3.0,487.0,839.0,844.0,1598.0,1518.0,2093.0,1553.0,2023,
Kona (SX2 HEV),0,0.0,0.0,0.0,89.0,811.0,1525.0,1528.0,2758.0,2932.0,2218.0,2526.0,2023,
Kona (SXe_EV),0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,706.0,918.0,1547.0,1409.0,2023,
Tucson (TLe),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,
Tucson (NX4e),3622,4449.0,7501.0,4779.0,5322.0,5966.0,5377.0,3039.0,5698.0,5432.0,5219.0,4874.0,2023,
Tucson (NX4e HEV),3373,3959.0,6497.0,4423.0,4543.0,5291.0,3606.0,2228.0,5608.0,4269.0,4501.0,4105.0,2023,
Tucson (NX4e PHEV),1476,1322.0,2201.0,1934.0,2120.0,2166.0,1331.0,908.0,1640.0,1771.0,1741.0,1394.0,2023,
NEXO (FE),44,2.0,9.0,6.0,5.0,16.0,9.0,0.0,1.0,2.0,2.0,1.0,2023,
IONIQ 5 (NE),2331,1811.0,1972.0,2220.0,2188.0,2400.0,2040.0,2213.0,1987.0,1928.0,1403.0,1414.0,2023,
Santa-Fe (DM),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,
Santa-Fe (TM),230,320.0,387.0,260.0,258.0,230.0,161.0,181.0,205.0,371.0,198.0,105.0,2023,
Santa Fe HEV (TM HEV),467,307.0,486.0,377.0,306.0,460.0,344.0,266.0,512.0,336.0,264.0,204.0,2023,
Santa Fe PHEV (TM PHEV),200,127.0,161.0,272.0,355.0,498.0,330.0,281.0,483.0,365.0,270.0,244.0,2023,
Light CV,221,290.0,366.0,216.0,217.0,611.0,307.0,268.0,525.0,289.0,357.0,414.0,2023,
i10 (AC3),4120,4148.0,5293.0,4120.0,5490.0,6588.0,5534.0,3781.0,6136.0,5257.0,4988.0,3511.0,2024,
i20 (GB),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
i20 (BC3),3843,3372.0,5506.0,5496.0,5270.0,5266.0,4106.0,3541.0,4922.0,4242.0,3600.0,3395.0,2024,
i20 N (BC3 N),641,521.0,947.0,562.0,456.0,340.0,242.0,167.0,110.0,72.0,48.0,53.0,2024,
Elantra,51,34.0,74.0,118.0,98.0,100.0,246.0,176.0,51.0,64.0,31.0,34.0,2024,
IONIQ (HEV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
IONIQ (PHEV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
IONIQ (EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
i30 (PD),2695,2910.0,3392.0,3294.0,3376.0,2799.0,3166.0,2323.0,2920.0,3326.0,3151.0,2616.0,2024,
i30 (PD N),493,369.0,878.0,630.0,455.0,623.0,106.0,69.0,58.0,32.0,15.0,38.0,2024,
i40 (VF),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
Ioniq6 EV (CE_EV),683,452.0,986.0,591.0,453.0,541.0,370.0,348.0,738.0,398.0,427.0,644.0,2024,
G80 (DH),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
ix20 (JC),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
Bayon (BC3 CUV),2596,2431.0,3072.0,2321.0,2625.0,2689.0,1806.0,1490.0,2878.0,2002.0,2501.0,1830.0,2024,
Casper (AX EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,2024,
Kona (OS),5,2.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2024,
Kona (EV),57,22.0,27.0,8.0,2.0,5.0,3.0,0.0,11.0,0.0,1.0,0.0,2024,
Kona (Ose- EV),201,666.0,154.0,42.0,40.0,38.0,16.0,4.0,5.0,1.0,3.0,4.0,2024,
Kona (HEV),9,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2024,
Kona N,21,6.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2024,
Kona (SX2),1454,1503.0,2401.0,1588.0,1722.0,1652.0,1209.0,768.0,1032.0,1124.0,1202.0,839.0,2024,
Kona (SX2 HEV),1779,1540.0,2784.0,3449.0,3291.0,3974.0,3240.0,2324.0,3448.0,2784.0,2617.0,2256.0,2024,
Kona (SXe_EV),1330,1817.0,3172.0,2341.0,2347.0,2672.0,2396.0,1904.0,3509.0,2622.0,2021.0,2345.0,2024,
Tucson (TLe),0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
Tucson (NX4e),3949,4372.0,6706.0,4153.0,5081.0,5239.0,4218.0,3048.0,4665.0,4148.0,4811.0,3839.0,2024,
Tucson (NX4e HEV),3725,3287.0,6124.0,4289.0,4181.0,5065.0,5024.0,2960.0,6658.0,4637.0,4885.0,4374.0,2024,
Tucson (NX4e PHEV),1195,842.0,1987.0,1227.0,1530.0,1302.0,1164.0,961.0,1599.0,1315.0,1571.0,1252.0,2024,
NEXO (FE),0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,2024,
IONIQ 5 (NE),938,732.0,1415.0,1411.0,1838.0,1823.0,1395.0,817.0,1232.0,814.0,872.0,1033.0,2024,
IONIQ 5 (NE N),5,303.0,253.0,191.0,151.0,141.0,187.0,173.0,240.0,187.0,265.0,176.0,2024,
Santa-Fe (DM),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
Santa-Fe (TM),72,42.0,47.0,36.0,13.0,13.0,7.0,5.0,2.0,0.0,0.0,0.0,2024,
Santa Fe HEV (TM HEV),170,87.0,155.0,60.0,49.0,34.0,13.0,0.0,8.0,9.0,7.0,7.0,2024,
Santa Fe PHEV (TM PHEV),203,146.0,123.0,66.0,60.0,55.0,61.0,55.0,17.0,31.0,41.0,17.0,2024,
Santa Fe HEV (MX5 HEV),0,0.0,0.0,0.0,0.0,115.0,304.0,419.0,724.0,496.0,582.0,366.0,2024,
Santa Fe PHEV (MX5 PHEV),0,0.0,0.0,0.0,1.0,323.0,288.0,269.0,393.0,357.0,309.0,382.0,2024,
Light CV,296,551.0,447.0,386.0,383.0,274.0,165.0,139.0,67.0,175.0,319.0,72.0,2024,
i10 (AC3),4224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i20 (GB),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i20 (BC3),4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i20 N (BC3 N),30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Elantra,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
IONIQ (HEV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
IONIQ (PHEV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
IONIQ (EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Sonata (DN8),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i30 (PD),2276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i30 (PD N),24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i40 (VF),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Ioniq6 EV (CE_EV),249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
G70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
G80 (DH),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
ix20 (JC),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Bayon (BC3 CUV),1576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Casper (AX EV),868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Venue (QX),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (OS),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (Ose- EV),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (HEV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (SX2),931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (SX2 HEV),2593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (SXe_EV),1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Tucson (TLe),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Tucson (NX4e),2930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Tucson (NX4e HEV),4042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Tucson (NX4e PHEV),1477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
NEXO (FE),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
IONIQ 5 (NE),1210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
IONIQ 5 (NE N),190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa-Fe (DM),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa-Fe (TM),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa Fe HEV (TM HEV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa Fe PHEV (TM PHEV),39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
SantaFe (MX5),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa Fe HEV (MX5 HEV),483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa Fe PHEV (MX5 PHEV),483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Palisade (LX2),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
GV60 (JW EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
GV70 (JK),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
GV70 EV (JK EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
GV80 (JX),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Light CV,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
